iter	Passed	Remaining
285	1180	2946
286	1184	2943
287	1204	2976
288	1215	2991
289	1245	3050
290	1250	3045
291	1253	3038
292	1255	3030
293	1261	3028
294	1264	3022
295	1267	3015
296	1272	3010
297	1279	3014
298	1319	3092
299	1326	3094
300	1329	3087
301	1336	3088
302	1360	3130
303	1365	3125
304	1367	3116
305	1370	3108
306	1400	3161
307	1409	3166
308	1411	3157
309	1415	3150
310	1419	3143
311	1432	3158
312	1447	3177
313	1480	3233
314	1497	3255
315	1509	3267
316	1514	3263
317	1523	3267
318	1528	3263
319	1533	3258
320	1539	3256
321	1548	3261
322	1556	3262
323	1565	3266
324	1569	3258
325	1572	3251
326	1581	3254
327	1585	3248
328	1588	3239
329	1597	3244
330	1602	3239
331	1606	3233
332	1612	3229
333	1615	3221
334	1620	3217
335	1631	3223
336	1634	3215
337	1641	3215
338	1644	3206
339	1647	3197
340	1650	3189
341	1653	3181
342	1664	3188
343	1667	3180
344	1673	3177
345	1677	3169
346	1679	3161
347	1682	3151
348	1691	3155
349	1694	3147
350	1697	3138
351	1700	3130
352	1703	3122
353	1706	3113
354	1708	3104
355	1711	3096
356	1718	3094
357	1721	3087
358	1724	3079
359	1727	3070
360	1734	3069
361	1737	3061
362	1740	3053
363	1743	3046
364	1751	3047
365	1754	3039
366	1757	3031
367	1764	3029
368	1767	3021
369	1770	3013
370	1772	3005
371	1775	2997
372	1783	2998
373	1786	2990
374	1789	2983
375	1794	2978
376	1797	2971
377	1800	2963
378	1803	2954
379	1805	2946
380	1814	2948
381	1817	2940
382	1820	2932
383	1826	2929
384	1829	2922
385	1832	2914
386	1835	2907
387	1838	2899
388	1846	2900
389	1849	2892
390	1852	2885
391	1859	2884
392	1862	2876
393	1865	2869
394	1868	2861
395	1879	2866
396	1882	2859
397	1885	2852
398	1894	2853
399	1896	2845
400	1899	2837
401	1906	2835
402	1909	2828
403	1912	2820
404	1914	2813
405	1917	2806
406	1924	2804
407	1927	2796
408	1930	2789
409	1932	2781
410	1938	2778
411	1941	2770
412	1943	2762
413	1946	2755
414	1950	2749
415	1955	2745
416	1958	2738
417	1961	2731
418	1967	2728
419	1970	2720
420	1973	2713
421	1975	2706
422	1978	2698
423	1984	2695
424	1987	2688
425	1989	2681
426	1992	2673
427	1998	2671
428	2002	2664
429	2005	2658
430	2008	2650
